,node,in,out,centrality,betweeness,closeness,eigenvector,hub,authority
0,adi 2646 stf,1,0,0.0147058823529,0.0,0.0147058823529,0.177723202033,0.0,0.0526315789474
1,adi 2857 stf,1,0,0.0147058823529,0.0,0.0147058823529,0.177723202169,0.0,0.0526315789474
2,adi 3751 stf,1,0,0.0147058823529,0.0,0.0147058823529,0.177723202246,0.0,0.0526315789474
3,ai 258067 stf,1,0,0.0147058823529,0.0,0.0147058823529,0.177723201996,0.0,0.0526315789474
4,ai 664567 stf,1,0,0.0147058823529,0.0,0.0147058823529,-0.00708371497646,0.0,0.0
5,ai 709068 stf,1,0,0.0147058823529,0.0,0.0147058823529,-0.133123309813,0.0,0.0
6,ai 763915 stf,1,0,0.0147058823529,0.0,0.0147058823529,-0.0959134511084,0.0,0.0
7,are 1014615 stf,0,19,0.279411764706,0.0,0.0,2.98706354739e-10,1.0,0.0
8,are 1016114 stf,0,2,0.0294117647059,0.0,0.0,-9.21560298661e-12,0.0,0.0
9,are 1016240 stf,0,6,0.0882352941176,0.0,0.0,-1.40785295065e-10,0.0,0.0
10,are 1036616 stf,0,3,0.0441176470588,0.0,0.0,3.25682402837e-11,0.0,0.0
11,are 1055206 stf,0,1,0.0147058823529,0.0,0.0,-5.41232371555e-11,0.0,0.0
12,are 665255 stf,1,0,0.0147058823529,0.0,0.0147058823529,-0.0959134508922,0.0,0.0
13,are 998902 stf,0,8,0.117647058824,0.0,0.0,-1.93672133078e-10,0.0,0.0
14,aresp 784917 stj,1,0,0.0147058823529,0.0,0.0147058823529,-0.1219850992,0.0,0.0
15,hc 118065 stf,1,0,0.0147058823529,0.0,0.0147058823529,-0.101299587913,0.0,0.0
16,hc 119597 stf,1,0,0.0147058823529,0.0,0.0147058823529,-0.101299588278,0.0,0.0
17,hc 129673 stf,0,2,0.0294117647059,0.0,0.0,-6.88842860133e-11,0.0,0.0
18,hc 129734 stf,0,1,0.0147058823529,0.0,0.0,-1.30387891842e-10,0.0,0.0
19,hc 131924 stf,0,1,0.0147058823529,0.0,0.0,-2.61842785942e-10,0.0,0.0
20,hc 134957 stf,1,0,0.0147058823529,0.0,0.0147058823529,-0.10129958833,0.0,0.0
21,hc 136452 stf,1,0,0.0147058823529,0.0,0.0147058823529,-0.101299588568,0.0,0.0
22,hc 142011 stf,0,9,0.132352941176,0.0,0.0,-1.48362856035e-10,0.0,0.0
23,hc 146457 stf,0,1,0.0147058823529,0.0,0.0,-7.76489333445e-11,0.0,0.0
24,hc 147521 stf,0,1,0.0147058823529,0.0,0.0,1.48465479725e-10,0.0,0.0
25,hc 148703 stf,0,1,0.0147058823529,0.0,0.0,-7.58678857783e-11,0.0,0.0
26,hc 320145 stj,1,0,0.0147058823529,0.0,0.0147058823529,-0.119437986196,0.0,0.0
27,hc 339460 stj,1,0,0.0147058823529,0.0,0.0147058823529,0.0903200173082,0.0,0.0
28,hc 407287 stj,1,0,0.0147058823529,0.0,0.0147058823529,-0.0385027404585,0.0,0.0
29,hc 417895 stj,1,0,0.0147058823529,0.0,0.0147058823529,-0.0616618405422,0.0,0.0
30,hc 54663 stj,1,0,0.0147058823529,0.0,0.0147058823529,-0.0378625662902,0.0,0.0
31,hc 66954 stf,1,0,0.0147058823529,0.0,0.0147058823529,-0.133123309805,0.0,0.0
32,hc 68658 stf,1,0,0.0147058823529,0.0,0.0147058823529,-0.133123309564,0.0,0.0
33,hc 70193 stf,1,0,0.0147058823529,0.0,0.0147058823529,0.0175250909758,0.0,0.0
34,hc 73721 stf,1,0,0.0147058823529,0.0,0.0147058823529,-0.133123309606,0.0,0.0
35,hc 74562 stf,1,0,0.0147058823529,0.0,0.0147058823529,-0.133123310259,0.0,0.0
36,hc 82050 stf,1,0,0.0147058823529,0.0,0.0147058823529,-0.133123309902,0.0,0.0
37,hc 98290 stf,1,0,0.0147058823529,0.0,0.0147058823529,-0.101299588087,0.0,0.0
38,rcl 27107 stf,0,2,0.0294117647059,0.0,0.0,-2.05734060208e-10,0.0,0.0
39,re 1072029 stf,0,1,0.0147058823529,0.0,0.0,1.29216884761e-10,0.0,0.0
40,re 243975 stf,1,0,0.0147058823529,0.0,0.0147058823529,0.17772320219,0.0,0.0526315789474
41,re 334868 stf,1,0,0.0147058823529,0.0,0.0147058823529,0.177723202368,0.0,0.0526315789474
42,re 336267 stf,1,0,0.0147058823529,0.0,0.0147058823529,0.177723202366,0.0,0.0526315789474
43,re 353350 stf,1,0,0.0147058823529,0.0,0.0147058823529,0.177723201995,0.0,0.0526315789474
44,re 369425 stf,1,0,0.0147058823529,0.0,0.0147058823529,0.177723202095,0.0,0.0526315789474
45,re 371887 stf,1,0,0.0147058823529,0.0,0.0147058823529,0.177723201951,0.0,0.0526315789474
46,re 396541 stf,1,0,0.0147058823529,0.0,0.0147058823529,0.177723202004,0.0,0.0526315789474
47,re 396970 stf,1,0,0.0147058823529,0.0,0.0147058823529,0.177723202338,0.0,0.0526315789474
48,re 415517 stf,1,0,0.0147058823529,0.0,0.0147058823529,0.177723201982,0.0,0.0526315789474
49,re 421271 stf,1,0,0.0147058823529,0.0,0.0147058823529,0.177723202308,0.0,0.0526315789474
50,re 444565 stf,1,0,0.0147058823529,0.0,0.0147058823529,0.177723202265,0.0,0.0526315789474
51,re 461217 stf,1,0,0.0147058823529,0.0,0.0147058823529,0.177723201874,0.0,0.0526315789474
52,re 501913 stf,1,0,0.0147058823529,0.0,0.0147058823529,0.17772320222,0.0,0.0526315789474
53,re 559742 stf,1,0,0.0147058823529,0.0,0.0147058823529,-0.133123309756,0.0,0.0
54,re 592477 stf,1,0,0.0147058823529,0.0,0.0147058823529,0.17772320219,0.0,0.0526315789474
55,re 601206 stf,1,0,0.0147058823529,0.0,0.0147058823529,0.177723202537,0.0,0.0526315789474
56,re 626436 stf,1,0,0.0147058823529,0.0,0.0147058823529,0.0175250908883,0.0,0.0
57,resp 1669 stj,1,0,0.0147058823529,0.0,0.0147058823529,0.0649746017417,0.0,0.0
58,rhc 133974 stf,1,0,0.0147058823529,0.0,0.0147058823529,-0.101299588073,0.0,0.0
59,rhc 136311 stf,1,0,0.0147058823529,0.0,0.0147058823529,-0.101299588017,0.0,0.0
60,rhc 54663 stj,1,0,0.0147058823529,0.0,0.0147058823529,-0.0378625662665,0.0,0.0
61,rhc 61038 stj,1,0,0.0147058823529,0.0,0.0147058823529,-0.0924330609439,0.0,0.0
62,rhc 69809 stj,1,0,0.0147058823529,0.0,0.0147058823529,-0.101299588333,0.0,0.0
63,sum. 21 stf,1,0,0.0147058823529,0.0,0.0147058823529,-0.101299588218,0.0,0.0
64,sum. 279 stf,4,0,0.0588235294118,0.0,0.0588235294118,-0.249591656715,0.0,0.0
65,sum. 282 stf,1,0,0.0147058823529,0.0,0.0147058823529,-0.0959134508845,0.0,0.0
66,sum. 284 stf,1,0,0.0147058823529,0.0,0.0147058823529,-0.0959134509917,0.0,0.0
67,sum. 287 stf,2,0,0.0294117647059,0.0,0.0294117647059,-0.102997165883,0.0,0.0
68,sum. 7 stj,1,0,0.0147058823529,0.0,0.0147058823529,-0.121985099843,0.0,0.0
