node,in,out,centrality,betweeness,closeness,eigenvector,hub,authority,prev,next
ai 406566 stf,1,0,0.022727272727299998,0.0,0.022727272727299998,-0.0391932123462,0.0,-0.0,1,0
ai 406566 stf,1,0,0.022727272727299998,0.0,0.022727272727299998,-0.0391932123462,0.0,-0.0,1,0
ai 562241 stf,1,0,0.022727272727299998,0.0,0.022727272727299998,-0.0391932101415,0.0,-0.0,1,0
ai 562241 stf,1,0,0.022727272727299998,0.0,0.022727272727299998,-0.0391932101415,0.0,-0.0,1,0
ai 621999 stf,0,5,0.113636363636,0.0,0.0,-3.39987205056e-11,0.375,-0.0,0,0
ai 622001 stf,0,5,0.113636363636,0.0,0.0,8.12571676612e-11,0.375,-0.0,0,0
ai 622001 stf,0,5,0.113636363636,0.0,0.0,8.12571676612e-11,0.375,-0.0,0,0
ai 622527 stf,3,0,0.06818181818180001,0.0,0.06818181818180001,0.218291754546,0.0,0.222222222222,0,0
ai 622527 stf,3,0,0.06818181818180001,0.0,0.06818181818180001,0.218291754546,0.0,0.222222222222,0,0
ai 622527 stf,3,0,0.06818181818180001,0.0,0.06818181818180001,0.218291754546,0.0,0.222222222222,0,0
ai 632877 stf,0,3,0.06818181818180001,0.0,0.0,2.1341835243500002e-10,0.25,-0.0,0,0
ai 649191 stf,3,0,0.06818181818180001,0.0,0.06818181818180001,0.218291742715,0.0,0.222222222222,0,0
ai 649191 stf,3,0,0.06818181818180001,0.0,0.06818181818180001,0.218291742715,0.0,0.222222222222,0,0
ai 649191 stf,3,0,0.06818181818180001,0.0,0.06818181818180001,0.218291742715,0.0,0.222222222222,0,0
ai 676991 stf,0,3,0.06818181818180001,0.0,0.0,-4.68032279599e-11,0.0,-0.0,0,0
ai 676991 stf,0,3,0.06818181818180001,0.0,0.0,-4.68032279599e-11,0.0,-0.0,0,0
ap 259 stf,1,0,0.022727272727299998,0.0,0.022727272727299998,0.0633319113203,0.0,-1.5658844600299998e-18,0,0
es 3 stf,1,0,0.022727272727299998,0.0,0.022727272727299998,-0.135159292859,0.0,-1.1035045720799997e-32,0,0
hc 102813 stj,1,0,0.022727272727299998,0.0,0.022727272727299998,-0.0791398652643,0.0,-0.0,0,0
hc 10435 stj,1,0,0.022727272727299998,0.0,0.022727272727299998,-0.0791398622272,0.0,-0.0,0,0
hc 59641 stj,1,0,0.022727272727299998,0.0,0.022727272727299998,0.39653589578299997,0.0,-2.79648097074e-18,0,0
hc 70193 stf,1,0,0.022727272727299998,0.0,0.022727272727299998,0.396535894208,0.0,-2.79648097074e-18,1,0
hc 70193 stf,1,0,0.022727272727299998,0.0,0.022727272727299998,0.396535894208,0.0,-2.79648097074e-18,1,0
hc 70193 stf,1,0,0.022727272727299998,0.0,0.022727272727299998,0.396535894208,0.0,-2.79648097074e-18,1,0
hc 72424 stf,1,0,0.022727272727299998,0.0,0.022727272727299998,0.396535895748,0.0,-3.93896172889e-17,0,0
hc 72865 stf,1,0,0.022727272727299998,0.0,0.022727272727299998,-0.13515929904899998,0.0,-5.98529235586e-33,0,0
hc 73686 stf,1,0,0.022727272727299998,0.0,0.022727272727299998,0.396535897245,0.0,-9.47883568859e-18,0,0
hc 77371 stf,1,0,0.022727272727299998,0.0,0.022727272727299998,-0.03919321386980001,0.0,-0.0,1,0
hc 77371 stf,1,0,0.022727272727299998,0.0,0.022727272727299998,-0.03919321386980001,0.0,-0.0,1,0
hc 77784 stf,1,0,0.022727272727299998,0.0,0.022727272727299998,0.0633319091181,0.0,-1.5658844600299998e-18,0,0
hc 83263 stf,1,0,0.022727272727299998,0.0,0.022727272727299998,0.06333191590750001,0.0,-1.5658844600299998e-18,0,0
hc 84420 stf,1,0,0.022727272727299998,0.0,0.022727272727299998,0.063331911854,0.0,-1.5658844600299998e-18,0,0
hc 84816 stf,1,0,0.022727272727299998,0.0,0.022727272727299998,0.0633319152094,0.0,9.39530676017e-18,0,0
hc 84981 stf,1,0,0.022727272727299998,0.0,0.022727272727299998,-0.135159296345,0.0,-1.1035045720799997e-32,0,0
hc 85156 stf,1,0,0.022727272727299998,0.0,0.022727272727299998,-0.135159297489,0.0,-1.1035045720799997e-32,0,0
hc 85237 stf,1,0,0.022727272727299998,0.0,0.022727272727299998,0.0633319104304,0.0,-5.3240071640999995e-17,0,0
hc 85298 stf,1,0,0.022727272727299998,0.0,0.022727272727299998,0.0633319136961,0.0,1.5658844600299998e-18,0,0
hc 85679 stf,1,0,0.022727272727299998,0.0,0.022727272727299998,0.06333191311030001,0.0,-1.5658844600299998e-18,0,0
hc 85704 stf,1,0,0.022727272727299998,0.0,0.022727272727299998,-0.135159296321,0.0,-1.1035045720799997e-32,0,0
hc 86560 stf,1,0,0.022727272727299998,0.0,0.022727272727299998,-0.0791398680439,0.0,-0.0,0,0
hc 86618 stf,1,0,0.022727272727299998,0.0,0.022727272727299998,0.0633319130527,0.0,-1.5658844600299998e-18,0,0
hc 87571 stf,1,0,0.022727272727299998,0.0,0.022727272727299998,-0.135159296416,0.0,-1.1035045720799997e-32,0,0
hc 89675 stf,1,0,0.022727272727299998,0.0,0.022727272727299998,-0.079139865385,0.0,-0.0,0,0
hc 89970 stf,1,0,0.022727272727299998,0.0,0.022727272727299998,-0.07913986245969999,0.0,-0.0,0,0
hc 90232 stf,1,0,0.022727272727299998,0.0,0.022727272727299998,-0.0791398664224,0.0,-0.0,0,0
hc 90602 stf,1,0,0.022727272727299998,0.0,0.022727272727299998,-0.0791398584032,0.0,-0.0,0,0
hc 90617 stf,0,9,0.204545454545,0.0,0.0,7.562891979340001e-11,0.0,-0.0,0,0
hc 90716 stf,1,0,0.022727272727299998,0.0,0.022727272727299998,-0.07913986061110001,0.0,-0.0,0,0
hc 93283 stf,0,7,0.159090909091,0.0,0.0,-1.6140278003e-10,0.0,-0.0,0,0
hc 94311 stf,0,9,0.204545454545,0.0,0.0,-9.45061529034e-11,0.0,-0.0,0,0
hc 95010 stf,0,4,0.0909090909091,0.0,0.0,4.73529881972e-10,0.0,-0.0,0,0
rhc 67267 stj,1,0,0.022727272727299998,0.0,0.022727272727299998,-0.135159292256,0.0,-1.1035045720799997e-32,0,0
sum. 279 stf,3,0,0.06818181818180001,0.0,0.06818181818180001,0.21829174799000003,0.0,0.222222222222,0,0
sum. 279 stf,3,0,0.06818181818180001,0.0,0.06818181818180001,0.21829174799000003,0.0,0.222222222222,0,0
sum. 279 stf,3,0,0.06818181818180001,0.0,0.06818181818180001,0.21829174799000003,0.0,0.222222222222,0,0
sum. 279 stf,3,0,0.06818181818180001,0.0,0.06818181818180001,0.21829174799000003,0.0,0.222222222222,0,0
sum. 279 stf,3,0,0.06818181818180001,0.0,0.06818181818180001,0.21829174799000003,0.0,0.222222222222,0,0
sum. 282 stf,2,0,0.0454545454545,0.0,0.0454545454545,0.039574343474599996,0.0,0.166666666667,0,0
sum. 282 stf,2,0,0.0454545454545,0.0,0.0454545454545,0.039574343474599996,0.0,0.166666666667,0,0
sum. 282 stf,2,0,0.0454545454545,0.0,0.0454545454545,0.039574343474599996,0.0,0.166666666667,0,0
sum. 282 stf,2,0,0.0454545454545,0.0,0.0454545454545,0.039574343474599996,0.0,0.166666666667,0,0
sum. 282 stf,2,0,0.0454545454545,0.0,0.0454545454545,0.039574343474599996,0.0,0.166666666667,0,0
sum. 356 stf,2,0,0.0454545454545,0.0,0.0454545454545,0.0395743473059,0.0,0.166666666667,0,0
sum. 356 stf,2,0,0.0454545454545,0.0,0.0454545454545,0.0395743473059,0.0,0.166666666667,0,0
sum. 356 stf,2,0,0.0454545454545,0.0,0.0454545454545,0.0395743473059,0.0,0.166666666667,0,0
sum. 356 stf,2,0,0.0454545454545,0.0,0.0454545454545,0.0395743473059,0.0,0.166666666667,0,0
sum. 691 stf,1,0,0.022727272727299998,0.0,0.022727272727299998,-0.079139868408,0.0,-0.0,1,0
sum. 691 stf,1,0,0.022727272727299998,0.0,0.022727272727299998,-0.079139868408,0.0,-0.0,1,0
sum. 691 stf,1,0,0.022727272727299998,0.0,0.022727272727299998,-0.079139868408,0.0,-0.0,1,0
sum. 691 stf,1,0,0.022727272727299998,0.0,0.022727272727299998,-0.079139868408,0.0,-0.0,1,0
sum. 691 stf,1,0,0.022727272727299998,0.0,0.022727272727299998,-0.079139868408,0.0,-0.0,1,0
adi 1275 stf,1,0,0.04,0.0,0.04,0.166401284024,0.0,2.1497619719999998e-17,0,0
adi 2329 stf,1,0,0.04,0.0,0.04,0.166401283236,0.0,3.73579486432e-17,0,0
adi 2417 stf,1,0,0.04,0.0,0.04,0.166401277553,0.0,3.73579486432e-17,0,0
adi 2857 stf,1,0,0.04,0.0,0.04,0.166401274215,0.0,1.72623868794e-17,0,0
